"Date(UTC)","UnixTimeStamp","Supply","MarketCap","Price"
"11/19/2017","1511049600","95831788.62500","33981.952246425","354.60"
"11/20/2017","1511136000","95852196.96875","35245.8113473790625","367.71"
"11/21/2017","1511222400","95872590.96875","34563.98649605375","360.52"
"11/22/2017","1511308800","95893095.40625","36519.92645451625","380.84"
"11/23/2017","1511395200","95913442.81250","38995.528444278125","406.57"
"11/24/2017","1511481600","95933855.93750","45130.163848678125","470.43"
"11/25/2017","1511568000","95954171.00000","44581.26738831","464.61"
"11/26/2017","1511654400","95974531.81250","45159.85619905375","470.54"
"11/27/2017","1511740800","95994803.56250","45620.5704450425","475.24"
"11/28/2017","1511827200","96015113.18750","44768.966825935625","466.27"
"11/29/2017","1511913600","96035538.21875","41047.509745458125","427.42"
"11/30/2017","1512000000","96055954.34375","41769.9317463796875","434.85"
"12/1/2017","1512086400","96076431.03125","44346.959035404375","461.58"
"12/2/2017","1512172800","96096636.21875","44008.41552273875","457.96"
"12/3/2017","1512259200","96116972.75000","44483.8961584275","462.81"
"12/4/2017","1512345600","96137400.96875","44889.4366343384375","466.93"
"12/5/2017","1512432000","96158037.78125","43651.90283117625","453.96"
"12/6/2017","1512518400","96178679.00000","40633.56830392","422.48"
"12/7/2017","1512604800","96199585.25000","40514.4553280375","421.15"
"12/8/2017","1512691200","96220018.34375","43466.431086605625","451.74"
"12/9/2017","1512777600","96240582.21875","45508.321707958125","472.86"
"12/10/2017","1512864000","96260974.53125","42016.9527731453125","436.49"
"12/11/2017","1512950400","96281304.03125","49420.2305462003125","513.29"
"12/12/2017","1513036800","96301877.56250","63224.1086573325","656.52"
"12/13/2017","1513123200","96322483.90625","67338.0852740203125","699.09"
"12/14/2017","1513209600","96343269.31250","66821.76472976375","693.58"
"12/15/2017","1513296000","96364099.15625","65939.0621296471875","684.27"
"12/16/2017","1513382400","96384483.40625","66778.0616383521875","692.83"
"12/17/2017","1513468800","96404828.46875","69190.7094403065625","717.71"
"12/18/2017","1513555200","96425392.06250","75789.393907204375","785.99"
"12/19/2017","1513641600","96446021.56250","78362.39251953125","812.50"
"12/20/2017","1513728000","96466652.93750","77093.255028061875","799.17"
"12/21/2017","1513814400","96487067.75000","76165.9264111725","789.39"
"12/22/2017","1513900800","96507639.03125","63485.6201839271875","657.83"
"12/23/2017","1513987200","96528474.31250","67612.4045474475","700.44"
"12/24/2017","1514073600","96548978.46875","65258.4200368128125","675.91"
"12/25/2017","1514160000","96569425.34375","69833.214243079375","723.14"
"12/26/2017","1514246400","96589809.03125","72770.76212414375","753.40"
"12/27/2017","1514332800","96610342.15625","71485.856575095625","739.94"
"12/28/2017","1514419200","96630776.28125","69254.3110530090625","716.69"
